truth,epsilon,n,q,replicates,mean_h2,ci95_low,ci95_high
point_+0.0,0.0,100,-6.0,40,0.0020131756745799655,0.00089594373123262,0.003130407617927311
point_+0.0,0.0,200,-6.0,40,0.0006298906143152644,6.813051547647293e-05,0.0011916507131540558
point_+0.0,0.0,400,-6.0,40,0.00015963510705498398,0.0,0.0003850083893373218
point_+0.0,0.0,800,-6.0,40,7.981755352749199e-05,0.0,0.00024126379430709815
point_+0.0,0.0,1600,-6.0,40,0.0,0.0,0.0
point_+0.0,0.02,100,-6.0,40,0.0042485043819330635,0.002899393289021254,0.005597615474844873
point_+0.0,0.02,200,-6.0,40,0.0011886134890077085,0.0005592330702300691,0.001817993907785348
point_+0.0,0.02,400,-6.0,40,0.00047890532116495196,0.00010966364202252707,0.0008481470003073768
point_+0.0,0.02,800,-6.0,40,0.0005587228746924439,0.00016580514725364378,0.0009516406021312441
point_+0.0,0.02,1600,-6.0,40,0.00031927021410996795,9.04515241224906e-06,0.0006294952758076869
point_+0.0,0.05,100,-6.0,40,0.005062236416375602,0.00340586700854411,0.006718605824207094
point_+0.0,0.05,200,-6.0,40,0.003201789163587674,0.002133015491124603,0.004270562836050745
point_+0.0,0.05,400,-6.0,40,0.0023932131903142955,0.001486569011641941,0.00329985736898665
point_+0.0,0.05,800,-6.0,40,0.001941789330665484,0.0012621503834360933,0.0026214282778948745
point_+0.0,0.05,1600,-6.0,40,0.001835803731132316,0.001324611773940915,0.0023469956883237168
point_+0.0,0.1,100,-6.0,40,0.0075751177933815195,0.005263910886890525,0.009886324699872514
point_+0.0,0.1,200,-6.0,40,0.007860487864603461,0.0049390352952521695,0.010781940433954753
point_+0.0,0.1,400,-6.0,40,0.003701447455193442,0.0024967472764444694,0.004906147633942415
point_+0.0,0.1,800,-6.0,40,0.0039733669397256565,0.0026581765409462634,0.00528855733850505
point_+0.0,0.1,1600,-6.0,40,0.003516957717643246,0.002679798489331508,0.0043541169459549835
point_+0.0,0.2,100,-6.0,40,0.017893867130634403,0.013636462833223825,0.02215127142804498
point_+0.0,0.2,200,-6.0,40,0.013859207186560179,0.009986044686994024,0.017732369686126334
point_+0.0,0.2,400,-6.0,40,0.009867727387752077,0.0062373570466378965,0.013498097728866256
point_+0.0,0.2,800,-6.0,40,0.008534638492377717,0.004867122440877265,0.01220215454387817
point_+0.0,0.2,1600,-6.0,40,0.00595832147263133,0.0032190012106861877,0.008697641734576472
mix_-1.0_+1.0_w0.50,0.0,100,-6.0,40,0.0029899646607280334,0.001300820338668155,0.004679108982787911
mix_-1.0_+1.0_w0.50,0.0,200,-6.0,40,0.001603459768251678,0.00013057752145566597,0.00307634201504769
mix_-1.0_+1.0_w0.50,0.0,400,-6.0,40,0.00012047151036655706,9.492725872246893e-05,0.0001460157620106452
mix_-1.0_+1.0_w0.50,0.0,800,-6.0,40,0.00011616895642489427,9.006074605258541e-05,0.00014227716679720314
mix_-1.0_+1.0_w0.50,0.0,1600,-6.0,40,9.465618671658052e-05,6.692482866816454e-05,0.00012238754476499652
mix_-1.0_+1.0_w0.50,0.02,100,-6.0,40,0.00346243507075488,0.0014847444822270986,0.005440125659282662
mix_-1.0_+1.0_w0.50,0.02,200,-6.0,40,0.00094299583591579,3.6620767979625e-05,0.001849370903851955
mix_-1.0_+1.0_w0.50,0.02,400,-6.0,40,0.0001247740643082198,9.98844087388238e-05,0.0001496637198776158
mix_-1.0_+1.0_w0.50,0.02,800,-6.0,40,0.00010326129459990603,7.59533409274161e-05,0.00013056924827239597
mix_-1.0_+1.0_w0.50,0.02,1600,-6.0,40,0.00010326129459990603,7.59533409274161e-05,0.00013056924827239597
mix_-1.0_+1.0_w0.50,0.05,100,-6.0,40,0.001362882957084357,0.00013472463386050696,0.002591041280308207
mix_-1.0_+1.0_w0.50,0.05,200,-6.0,40,0.00014628683401653354,0.00012638291349016445,0.00016619075454290264
mix_-1.0_+1.0_w0.50,0.05,400,-6.0,40,0.0001419842800748708,0.00012080410551140595,0.00016316445463833564
mix_-1.0_+1.0_w0.50,0.05,800,-6.0,40,0.00011186640248323153,8.527910241857896e-05,0.0001384537025478841
mix_-1.0_+1.0_w0.50,0.05,1600,-6.0,40,7.314341700826677e-05,4.558768680660635e-05,0.0001006991472099272
mix_-1.0_+1.0_w0.50,0.1,100,-6.0,40,0.001534462696336136,0.00011905020401890734,0.002949875188653365
mix_-1.0_+1.0_w0.50,0.1,200,-6.0,40,0.0003773840001666709,0.0,0.0008555536628847837
mix_-1.0_+1.0_w0.50,0.1,400,-6.0,40,0.0001419842800748708,0.00012080410551140595,0.00016316445463833564
mix_-1.0_+1.0_w0.50,0.1,800,-6.0,40,9.465618671658053e-05,6.692482866816455e-05,0.00012238754476499652
mix_-1.0_+1.0_w0.50,0.1,1600,-6.0,40,7.744597094992952e-05,4.971461290151354e-05,0.00010517732899834551
mix_-1.0_+1.0_w0.50,0.2,100,-6.0,40,0.0008317696572930092,0.0,0.001858310977203982
mix_-1.0_+1.0_w0.50,0.2,200,-6.0,40,0.0001333791721915453,0.00011010224506915217,0.00015665609931393842
mix_-1.0_+1.0_w0.50,0.2,400,-6.0,40,0.0001075638485415688,8.057780734049754e-05,0.00013454988974264005
mix_-1.0_+1.0_w0.50,0.2,800,-6.0,40,0.00010326129459990603,7.59533409274161e-05,0.00013056924827239597
mix_-1.0_+1.0_w0.50,0.2,1600,-6.0,40,9.465618671658053e-05,6.692482866816455e-05,0.00012238754476499652
mix_-0.5_+0.5_w0.25,0.0,100,-6.0,40,0.004204365580291454,0.0026536075061873513,0.005755123654395556
mix_-0.5_+0.5_w0.25,0.0,200,-6.0,40,0.0013243325814935578,0.0005977849260260942,0.0020508802369610217
mix_-0.5_+0.5_w0.25,0.0,400,-6.0,40,0.0006211077016854084,0.0,0.0012834125288196086
mix_-0.5_+0.5_w0.25,0.0,800,-6.0,40,8.868939117904376e-05,0.0,0.00026808061742048396
mix_-0.5_+0.5_w0.25,0.0,1600,-6.0,40,0.0,0.0,0.0
mix_-0.5_+0.5_w0.25,0.02,100,-6.0,40,0.0037581264847965424,0.0020586831182480576,0.005457569851345027
mix_-0.5_+0.5_w0.25,0.02,200,-6.0,40,0.002523018233150155,0.0013313743705771898,0.0037146620957231205
mix_-0.5_+0.5_w0.25,0.02,400,-6.0,40,0.001255900539103114,0.000541089398557403,0.001970711679648825
mix_-0.5_+0.5_w0.25,0.02,800,-6.0,40,0.0007095151294323501,0.0002499057555623897,0.0011691245033023105
mix_-0.5_+0.5_w0.25,0.02,1600,-6.0,40,0.00044344695589521884,6.344317355333657e-05,0.0008234507382371011
mix_-0.5_+0.5_w0.25,0.05,100,-6.0,40,0.0037996908916817286,0.002302091911237483,0.005297289872125974
mix_-0.5_+0.5_w0.25,0.05,200,-6.0,40,0.002904754070603775,0.002062760940547142,0.0037467472006604075
mix_-0.5_+0.5_w0.25,0.05,400,-6.0,40,0.0021661669373115844,0.0014308470553717285,0.00290148681925144
mix_-0.5_+0.5_w0.25,0.05,800,-6.0,40,0.002009619382408935,0.0013698750109542362,0.002649363753863634
mix_-0.5_+0.5_w0.25,0.05,1600,-6.0,40,0.0010736780814021587,0.0004945925365885304,0.001652763626215787
mix_-0.5_+0.5_w0.25,0.1,100,3.0,40,0.008038881312709197,0.005797697533149321,0.010280065092269072
mix_-0.5_+0.5_w0.25,0.1,200,3.0,40,0.0064852648160837936,0.004666349295094586,0.008304180337073001
mix_-0.5_+0.5_w0.25,0.1,400,3.0,40,0.004083056022645133,0.003313169728099314,0.004852942317190952
mix_-0.5_+0.5_w0.25,0.1,800,3.0,40,0.004604975753899493,0.003555241428360399,0.005654710079438587
mix_-0.5_+0.5_w0.25,0.1,1600,3.0,40,0.0045453137530476195,0.0038672771514991875,0.005223350354596052
mix_-0.5_+0.5_w0.25,0.2,100,-6.0,40,0.010428611068433338,0.007231267837657102,0.013625954299209573
mix_-0.5_+0.5_w0.25,0.2,200,-6.0,40,0.006797710594915909,0.004558625955640824,0.009036795234190995
mix_-0.5_+0.5_w0.25,0.2,400,-6.0,40,0.006046506496549342,0.004432624593473311,0.0076603883996253725
mix_-0.5_+0.5_w0.25,0.2,800,-6.0,40,0.005749915699048658,0.004424160184179689,0.007075671213917627
mix_-0.5_+0.5_w0.25,0.2,1600,-6.0,40,0.004636023597174835,0.004247445782781648,0.005024601411568022
mix_-1.0_+0.5_w0.50,0.0,100,-6.0,40,0.0038686110677282615,0.002521362071159294,0.005215860064297229
