family,components,support_half_width,relative_amplitude,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,alpha,theorem_2_1_rhs_C0_1,corollary_2_4_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,hellinger_over_tv,sqrt_chi_over_tv
0,21,3.909848544315092,1.0,0.07432000428860974,0.01016654630642676,0.009690737229098237,9.391038804343057e-05,0.0007656053345716336,0.027669574166792547,1.4439613784624057,7.66898741767611,7.66898741767611,0.003607982730942738,0.0012636266955872468,0.9531985530791571,2.721629679619055
0,21,3.909848544315092,0.3,0.022296001286582923,0.0030499638919280272,0.0029262312185314855,8.562829144308263e-06,6.890448011144701e-05,0.008300872250037764,1.2524296796182808,4.315575147700011,4.315575147700011,0.0019234683595908924,0.0006780628579926415,0.9594314300821691,2.7216296796190553
0,21,3.909848544315092,0.1,0.007432000428860975,0.0010166546306426773,0.000977305347528255,9.551257423073232e-07,7.65605334571634e-06,0.0027669574166792558,1.1397483103890658,2.6196450755499288,2.6196450755499288,0.0010562337022309797,0.0003730678467284711,0.9612953288871092,2.7216296796190522
0,21,3.909848544315092,0.03,0.0022296001286582923,0.0003049963891928027,0.0002933932849513822,8.607961965456293e-08,6.890448011144711e-07,0.000830087225003777,1.0519910194319961,1.5232988095373003,1.5232988095373003,0.0005449273772201756,0.0001926038956470398,0.9619565848889915,2.7216296796190576
0,21,3.909848544315092,0.01,0.0007432000428860974,0.0001016654630642676,9.781705598628138e-05,9.568176441823307e-09,7.656053345716347e-08,0.0002766957416679257,0.9916468020442207,0.9260770664160489,0.9260770664160489,0.0002987826301959382,0.00010562517908454084,0.9621463674881069,2.7216296796190567
0,21,3.909848544315092,0.003,0.00022296001286582924,3.049963891928069e-05,2.93471454367722e-05,8.612549452870593e-10,6.890448011144837e-09,8.300872250037846e-05,0.939531001907545,0.5332610023874599,0.5332610023874599,0.00015566246571330092,5.503336134722445e-05,0.9622128810915224,2.721629679619045
0,21,3.909848544315092,0.001,7.432000428860974e-05,1.0166546306427963e-05,9.78257510305749e-06,9.569877564696029e-11,7.656053345717342e-10,2.7669574166794366e-05,0.9008881221205083,0.32000118312572085,0.32000118312572085,8.646709957920264e-05,3.0570434169970396e-05,0.9622318935263493,2.721629679618912
1,8,2.875235707090804,1.0,0.1,0.010394975169387177,0.008833183830390636,7.80251365814746e-05,0.0006178281732563503,0.0248561496064123,1.4485765344216643,7.755440336851041,7.755440336851041,0.0032049952712942535,0.0011389661252912422,0.8497551640531129,2.3911696951054537
1,8,2.875235707090804,0.3,0.03,0.0031184925508161527,0.002640335808506191,6.971373181680041e-06,5.56045355930715e-05,0.0074568448819236875,1.2551759146222983,4.359984551599645,4.359984551599645,0.0017102915833010987,0.000605583753166619,0.8466705517110114,2.3911696951054533
1,8,2.875235707090804,0.1,0.010000000000000002,0.0010394975169387172,0.00087923180027257,7.730485586105443e-07,6.178281732563495e-06,0.002485614960641228,1.1416584712586915,2.646014554315339,2.646014554315339,0.0009393806835217448,0.000332285322784278,0.8458238581097105,2.3911696951054533
1,8,2.875235707090804,0.03,0.003,0.0003118492550816154,0.0002636782349734043,6.95262115986898e-08,5.560453559307159e-07,0.0007456844881923694,1.053375493157873,1.5386414578644476,1.5386414578644476,0.00048463824004023635,0.00017137081132558043,0.8455310720700485,2.3911696951054546
1,8,2.875235707090804,0.01,0.001,0.00010394975169387268,8.788408425425433e-05,7.723612265208875e-09,6.178281732563588e-08,0.0002485614960641247,0.9927295767323967,0.9354931689171899,0.9354931689171899,0.00026570102735419055,9.394412185390725e-05,0.8454477554989164,2.3911696951054493
1,8,2.875235707090804,0.003,0.00030000000000000003,3.11849255081615e-05,2.636431699868971e-05,6.950772108073991e-10,5.560453559307229e-09,7.456844881923741e-05,0.9403901405832742,0.538759173122271,0.538759173122271,0.00013840775719342448,4.8935254031779334e-05,0.8454186299656167,2.3911696951054724
1,8,2.875235707090804,0.001,0.0001,1.0394975169386321e-05,8.788019198491725e-06,7.722928143305915e-11,6.178281732562885e-10,2.4856149606411058e-05,0.9016023958843754,0.32334590648652434,0.32334590648652434,7.687170026829134e-05,2.7178383960330025e-05,0.8454103117410848,2.3911696951055315
2,8,2.5054451069340664,1.0,0.03409829146522266,0.012317821745121846,0.011628266392741308,0.00013521657930055697,0.0011124990349337784,0.03335414569335839,1.485627119875275,8.458405768106404,8.458405768106404,0.003943313504670684,0.001374758637920553,0.9440197003456704,2.7077957761945566
