n,replicate,tv_loss,hellinger_loss
200,0,0.06711797680776846,0.056045048840220935
200,1,0.042922248290824874,0.03682419471157682
200,2,0.07210269141166047,0.07069134252242636
200,3,0.05534665312283747,0.056138911278920366
200,4,0.03475674520391743,0.03692541913566067
200,5,0.07731541027796732,0.0736259908593888
200,6,0.09241123458260105,0.08137204325219836
200,7,0.08504107287841031,0.07465985895962933
500,0,0.043673554970374104,0.052512336618655356
500,1,0.03287960568296514,0.02699431742669534
500,2,0.0469995522918404,0.04408372611152442
500,3,0.06308975702760071,0.05543751284714082
500,4,0.04093626806427703,0.0434076893216845
500,5,0.04169522776120666,0.037984525572302974
500,6,0.04635520954239459,0.04005278587731295
500,7,0.03907980550161827,0.03649462493902661
1000,0,0.02666504741596698,0.023691473544651617
1000,1,0.01982333179519924,0.018718728018709198
1000,2,0.016983209218634825,0.01741059134350936
1000,3,0.022305982652015673,0.024214043480259462
1000,4,0.028379818529655584,0.029527035151224772
1000,5,0.030864901187653875,0.030572331094559344
1000,6,0.03751336309404838,0.03143415692817534
1000,7,0.04057287630606432,0.045082737551979835
2000,0,0.027819902069236343,0.02687975445174556
2000,1,0.014067217664749873,0.024737291463218892
2000,2,0.016598885377902415,0.02165019170400944
2000,3,0.020497078345903218,0.02017047818080277
2000,4,0.026079076305860677,0.026382536351155065
2000,5,0.01527391237269888,0.01844308110584233
2000,6,0.02758067827090823,0.043630365419323566
2000,7,0.02286377275509505,0.023367059645669448
5000,0,0.012032535646728073,0.01254881095000288
5000,1,0.008678867909605929,0.008424127971705638
5000,2,0.010232113702934895,0.012135421041017305
5000,3,0.019304604666425782,0.018571216459375983
5000,4,0.014806322129755014,0.01818109234833357
5000,5,0.018157015952133905,0.015165896312058405
5000,6,0.019725782074880568,0.019731650709450238
5000,7,0.013713644074572325,0.01474635108931396
10000,0,0.014134922428969436,0.0119594000001846
10000,1,0.011350833541377536,0.012505535538711959
10000,2,0.007984419383787083,0.009041867432854542
10000,3,0.014639384824515437,0.01518604924327176
10000,4,0.0064335578396518735,0.0078013430668174046
10000,5,0.011885438660371117,0.014983751540467714
10000,6,0.00961495982793326,0.010301628208801974
10000,7,0.011865272961560352,0.010498242845572025
20000,0,0.011812751601567743,0.01079335187842999
20000,1,0.0068396309292887035,0.006391075242324445
20000,2,0.004866000224458103,0.008138427581777376
20000,3,0.008767193754749979,0.01066993359210059
20000,4,0.0096655888627526,0.009298285750733536
20000,5,0.01141442399243876,0.010814266468994218
20000,6,0.006505738985250798,0.007446478774612211
20000,7,0.010327200312199575,0.009619809844524742
50000,0,0.006062173579307071,0.006262523556372451
50000,1,0.005317577305844484,0.0051690885377418515
50000,2,0.004955984577125908,0.004463988690348307
50000,3,0.006698485598145757,0.009328467360331423
50000,4,0.006172067616127559,0.006622032882802668
50000,5,0.0061034181570765195,0.006201850391366993
50000,6,0.004233509464716983,0.005601631290135368
50000,7,0.008697825598975143,0.007836605155512457
