epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.01,-4.0,0,200000,0.015509693629246294,0.00024055059647308308,0.008186809486424567
0.01,-4.0,1,200000,0.010443040419207133,0.0001090570931971939,0.008510917062709686
0.01,-4.0,2,200000,0.013651402184707945,0.00018636078160864887,0.009505154996717655
0.01,-4.0,3,200000,0.015999735813159582,0.00025599154609090135,0.008472551488985826
0.01,-3.5,0,200000,0.012558033764054179,0.00015770421201912477,0.00819181527284473
0.01,-3.5,1,200000,0.00880972800109776,7.761130745332594e-05,0.009157887431912141
0.01,-3.5,2,200000,0.008590950524443175,7.380443091343045e-05,0.006892775914606545
0.01,-3.5,3,200000,0.013972469760592137,0.0001952299112106617,0.01036788871455685
0.01,-3.0,0,200000,0.008219207237015358,6.755536760500564e-05,0.0067224871575845445
0.01,-3.0,1,200000,0.008206097263100223,6.734003229146097e-05,0.00787950629609477
0.01,-3.0,2,200000,0.006408680560688686,4.107118652894905e-05,0.007041156448524994
0.01,-3.0,3,200000,0.010065356502305351,0.00010131140151850061,0.00871611811730088
0.01,-2.5,0,200000,0.007224262740435114,5.218997214283906e-05,0.008126293093373165
0.01,-2.5,1,200000,0.005382526970743227,2.8971596590778255e-05,0.006023611108152531
0.01,-2.5,2,200000,0.006408648011713982,4.107076933804557e-05,0.007031933076819695
0.01,-2.5,3,200000,0.006896992908624294,4.75685111816138e-05,0.006817505734237495
0.01,-2.0,0,200000,0.005128827858724507,2.6304875204428615e-05,0.00624541774080799
0.01,-2.0,1,200000,0.0029754563339841455,8.85334039544637e-06,0.0033602067534762676
0.01,-2.0,2,200000,0.004776817248451503,2.281798302510379e-05,0.0054944817760260375
0.01,-2.0,3,200000,0.008450362495744103,7.140862630947851e-05,0.00938864580227335
0.01,-1.5,0,200000,0.004543477555433441,2.064318829672744e-05,0.005611734442069418
0.01,-1.5,1,200000,0.003720533288794407,1.3842367953027326e-05,0.004083055801608874
0.01,-1.5,2,200000,0.0057431546137416715,3.2983824917342245e-05,0.006614356620132305
0.01,-1.5,3,200000,0.004615374680962129,2.1301683445666273e-05,0.005086397296439781
0.01,-1.0,0,200000,0.00496092998094829,2.46108262758716e-05,0.005174586745573079
0.01,-1.0,1,200000,0.003350418294133299,1.1225302745663085e-05,0.003993813852475186
0.01,-1.0,2,200000,0.0039766022709343185,1.581336562119998e-05,0.004889548343447142
0.01,-1.0,3,200000,0.005372470144878502,2.8863435457610835e-05,0.006222604663233788
0.01,-0.5,0,200000,0.005295207959904193,2.803922733863273e-05,0.005924492106882113
0.01,-0.5,1,200000,0.004109491670664083,1.6887921791257476e-05,0.004713331443986459
0.01,-0.5,2,200000,0.0037729220449421747,1.4234940757210642e-05,0.003909299452588214
0.01,-0.5,3,200000,0.00512025545793244,2.621701595448694e-05,0.005963491598123181
0.01,0.0,0,200000,0.005918263817188992,3.502584660984842e-05,0.006424283404120402
0.01,0.0,1,200000,0.0032266318757587097,1.041115326166217e-05,0.0032170085852907654
0.01,0.0,2,200000,0.004572251538179304,2.0905484128383013e-05,0.005718463401126098
0.01,0.0,3,200000,0.005108331837798285,2.609505416506361e-05,0.005941487176502355
0.01,0.5,0,200000,0.004102051193860656,1.682682399705363e-05,0.005146483077056796
0.01,0.5,1,200000,0.005079501642256256,2.5801336933684003e-05,0.0049659575761234415
0.01,0.5,2,200000,0.003989997106816178,1.592007691240147e-05,0.004883867526469131
0.01,0.5,3,200000,0.005829989185455969,3.398877390253355e-05,0.006005230410419419
0.01,1.0,0,200000,0.0030016381333814158,9.00983148376947e-06,0.003530761131820683
0.01,1.0,1,200000,0.003626628417142339,1.3152433676024347e-05,0.004238479038173802
0.01,1.0,2,200000,0.005570227227487217,3.102743136583993e-05,0.006403834693011767
0.01,1.0,3,200000,0.004279901531322325,1.831755711781518e-05,0.0053482835108387425
0.01,1.5,0,200000,0.0033593338067736535,1.1285123625332366e-05,0.0037887953740422292
0.01,1.5,1,200000,0.005296191583473874,2.80496452888595e-05,0.0053035596546337944
0.01,1.5,2,200000,0.005134560185875356,2.6363708302376368e-05,0.005795628028444923
0.01,1.5,3,200000,0.004532391896002728,2.0542576298951202e-05,0.004324466147691715
0.01,2.0,0,200000,0.003733869536066957,1.3941781712368872e-05,0.004593274806240029
0.01,2.0,1,200000,0.006452622731408077,4.163634011388423e-05,0.007827875968213873
0.01,2.0,2,200000,0.004903911730493381,2.404835026047058e-05,0.005974347320381009
0.01,2.0,3,200000,0.004417689278664447,1.9515978562826804e-05,0.003936122945584079
0.01,2.5,0,200000,0.004383745694389315,1.9217226313076856e-05,0.005058199741323757
0.01,2.5,1,200000,0.0074704330275371135,5.5807369618917324e-05,0.008339965355620534
0.01,2.5,2,200000,0.004488586369134628,2.0147407593181187e-05,0.005206457288895481
0.01,2.5,3,200000,0.004474313806572101,2.0019484039681728e-05,0.004514704830157263
0.01,3.0,0,200000,0.005499026425465121,3.0239291627963707e-05,0.006495114801298226
0.01,3.0,1,200000,0.007843190068927763,6.151563045732709e-05,0.007482154836843262
0.01,3.0,2,200000,0.006229075883970807,3.880138636826669e-05,0.006358955161284904
0.01,3.0,3,200000,0.004427962594144772,1.96068527351453e-05,0.004949087205760437
0.01,3.5,0,200000,0.007643440293517596,5.842217952056836e-05,0.006730582156461387
0.01,3.5,1,200000,0.009445140005431039,8.921066972219385e-05,0.007786697324816907
0.01,3.5,2,200000,0.008058283722363158,6.493593655010304e-05,0.0062719848157802354
0.01,3.5,3,200000,0.006825423943299693,4.658641200576873e-05,0.005964093798590818
0.01,4.0,0,200000,0.009730539559151052,9.468340011220354e-05,0.006453185573145147
0.01,4.0,1,200000,0.012993452525066625,0.00016882980852116024,0.008634241042562482
0.01,4.0,2,200000,0.011044276608822751,0.00012197604581218937,0.007908434569824123
0.01,4.0,3,200000,0.007355278249654746,5.410011812984419e-05,0.006737307595509505
0.02,-4.0,0,200000,0.031655259570981226,0.0010020554585061985,0.016948778247223076
0.02,-4.0,1,200000,0.017897008210949722,0.00032030290290280174,0.012603594751507827
0.02,-4.0,2,200000,0.02297379844570384,0.0005277954150238241,0.016249231497655323
0.02,-4.0,3,200000,0.03249031506116345,0.0010556205727736644,0.017463922246810537
0.02,-3.5,0,200000,0.022552508725903288,0.0005086156498319439,0.015746388900460522
0.02,-3.5,1,200000,0.012562023622492487,0.00015780443749205926,0.011981045309825238
0.02,-3.5,2,200000,0.019568410593698245,0.0003829226931635617,0.01728729162289952
0.02,-3.5,3,200000,0.025170238875111762,0.0006335409250301874,0.01761273488086468
0.02,-3.0,0,200000,0.016983934565875967,0.0002884540333379565,0.015863641315716267
0.02,-3.0,1,200000,0.010141020990337143,0.00010284030672645852,0.012125787623721893
0.02,-3.0,2,200000,0.012420436588733492,0.00015426724505474966,0.01301849907994957
0.02,-3.0,3,200000,0.01802939888043878,0.00032505922398996714,0.015527064141870507
0.02,-2.5,0,200000,0.011858623919694996,0.00014062696126876232,0.012708341769973484
0.02,-2.5,1,200000,0.008094016874996682,6.551310917273104e-05,0.010493452996111418
0.02,-2.5,2,200000,0.011622318342812604,0.00013507828366167833,0.01312622340836258
0.02,-2.5,3,200000,0.01581126757172448,0.0002499961822246662,0.016522923692765867
0.02,-2.0,0,200000,0.00979825433606277,9.600578803417288e-05,0.011876650129085111
0.02,-2.0,1,200000,0.0075994253396905985,5.775126549353157e-05,0.009878824695545668
0.02,-2.0,2,200000,0.009966768392240134,9.933647218455698e-05,0.011628694353342682
0.02,-2.0,3,200000,0.012323160035928347,0.00015186027327110152,0.013313564799105471
0.02,-1.5,0,200000,0.009596211976585237,9.208728429955794e-05,0.011600861652051911
0.02,-1.5,1,200000,0.005502283383028473,3.0275122427151256e-05,0.006566148576597897
0.02,-1.5,2,200000,0.009554805436998864,9.129430693890304e-05,0.011587358183710348
0.02,-1.5,3,200000,0.011314981124150036,0.00012802879783987162,0.012802962712762348
0.02,-1.0,0,200000,0.009335790185823308,8.71569783937148e-05,0.011971580164272223
0.02,-1.0,1,200000,0.006654001526376253,4.427573631301751e-05,0.008402932332530474
0.02,-1.0,2,200000,0.00798708970150794,6.379360189993418e-05,0.009384643839135006
0.02,-1.0,3,200000,0.011597641589640986,0.00013450529044177028,0.013400911465921086
0.02,-0.5,0,200000,0.007372064163830299,5.434733003563093e-05,0.008734148620989911
0.02,-0.5,1,200000,0.00573326594327619,3.2870338376330626e-05,0.00697756475532839
0.02,-0.5,2,200000,0.007880435974067809,6.210127114138206e-05,0.009448775433371298
0.02,-0.5,3,200000,0.010443104958654028,0.00010905844117746434,0.0122724019005736
0.02,0.0,0,200000,0.007655284610337544,5.8603382465270833e-05,0.009155348756354029
