truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.0,100,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,4,-6.0,mix_-1.0_+0.5_w0.25,0.010624828263526075,0.11221544160342153
point_+0.0,0.0,200,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,6,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,6,-6.0,point_+0.0,0.0,0.0
