n,replicate,tv_loss,hellinger_loss
200,0,0.06287518966853603,0.056278513117823024
200,1,0.04884170531347354,0.05014188242348173
200,2,0.056918746119853446,0.051734601104308976
200,3,0.060902854128457765,0.05032049389996801
200,4,0.03741884636078891,0.034706855446420576
200,5,0.07327771584377596,0.06881387913188562
200,6,0.076933414737803,0.06633020003605156
200,7,0.05898280809394883,0.050339111132033564
500,0,0.07919123155117677,0.06340105263779307
500,1,0.05145285037852295,0.04660421275869777
500,2,0.03942629465676008,0.04548523923276673
500,3,0.03658479902408742,0.03107767357741476
500,4,0.03512175359792972,0.04015294793616611
500,5,0.06483924484247189,0.060187797039514664
500,6,0.04765265218325776,0.042375244212398855
500,7,0.03616765270234615,0.03218599482581744
1000,0,0.053519749055814164,0.0464580634989782
1000,1,0.029887033980077384,0.0423774495990118
1000,2,0.03239860110970619,0.035134054501443565
1000,3,0.02490387361177751,0.02677024698440756
1000,4,0.02481375033614801,0.03711030176221629
1000,5,0.036472561552110004,0.0361113422259992
1000,6,0.02812555474109174,0.034086311393821886
1000,7,0.02388887259033904,0.025341548839097297
2000,0,0.026707331072324633,0.0214531376025077
2000,1,0.015944565217961254,0.013990853718006329
2000,2,0.02348566045913804,0.01968103869981934
2000,3,0.019772046756603705,0.016617868606253496
2000,4,0.030433990449362503,0.02612462986436235
2000,5,0.021082362050792124,0.02063531163678893
2000,6,0.03234962001319587,0.03220474887108259
2000,7,0.014474659361388437,0.013486389238011152
5000,0,0.015354378151272203,0.01587735735322394
5000,1,0.022772619654258083,0.022011094114340934
5000,2,0.009723245685595832,0.013882920870756823
5000,3,0.023397983024731287,0.022032887743376105
5000,4,0.014506293784845935,0.019539587398429877
5000,5,0.01877745317736229,0.021223976157500362
5000,6,0.010527686597824288,0.00954012177597991
5000,7,0.020734873384788324,0.022609910964211923
10000,0,0.009456290345193555,0.007678124831271907
10000,1,0.012827670978261492,0.01344705109712944
10000,2,0.008052393349813683,0.007654583714227475
10000,3,0.011483947443713474,0.010193750821596367
10000,4,0.007433175969632155,0.008206512120087507
10000,5,0.008894972052332167,0.011805170163447218
10000,6,0.008254054155076018,0.008872906261048065
10000,7,0.011669544124059482,0.01240905240216172
20000,0,0.006534276711670673,0.005736429856136684
20000,1,0.007204910997002333,0.0063805199854822595
20000,2,0.00719983541466076,0.009089728442109505
20000,3,0.005745334315316264,0.005925787696841388
20000,4,0.007604099441674064,0.010980817272863687
20000,5,0.01029745556586026,0.009670222115994208
20000,6,0.006763551617307967,0.007745531215742617
20000,7,0.007345705047185415,0.009910323116539674
50000,0,0.0031122227061437125,0.0043977329597178145
50000,1,0.004622855388588311,0.008353828660428117
50000,2,0.0038505532728276377,0.004681883528308683
50000,3,0.0055879108099296014,0.005364268811955704
50000,4,0.005146908870441931,0.005710591074070083
50000,5,0.006109415914172114,0.005640619120941316
50000,6,0.0069826705202407835,0.007045663842148804
50000,7,0.003601318186294626,0.004352449451004725
