epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.01,-4.0,0,200000,0.010837056433849924,0.00011744179215044804,0.006716370661920444
0.01,-4.0,1,200000,0.012524898154992296,0.00015687307379292942,0.008275064658509518
0.01,-4.0,2,200000,0.0127188667743918,0.00016176957202472766,0.007351970927640512
0.01,-4.0,3,200000,0.014873347247966929,0.0002212164583586054,0.009265022502242296
0.01,-3.5,0,200000,0.007523089020600864,5.659686841188527e-05,0.005280716934380043
0.01,-3.5,1,200000,0.009055939970343834,8.201004874647108e-05,0.007648846982197258
0.01,-3.5,2,200000,0.009320619006956304,8.687393867283512e-05,0.007406146675422022
0.01,-3.5,3,200000,0.01109374572385213,0.00012307119418548742,0.008966634328796472
0.01,-3.0,0,200000,0.0051284615249258285,2.6301117612644553e-05,0.0045127089242490955
0.01,-3.0,1,200000,0.006904644978911617,4.7674122284809406e-05,0.007505090823632808
0.01,-3.0,2,200000,0.00678062689266061,4.597690105747228e-05,0.007134885012771083
0.01,-3.0,3,200000,0.008714794641707744,7.5947645647138e-05,0.008247801412172068
0.01,-2.5,0,200000,0.004126345471146778,1.7026726947253525e-05,0.004018887289041953
0.01,-2.5,1,200000,0.006065905316337481,3.679520730677132e-05,0.007293442867573472
0.01,-2.5,2,200000,0.005382280347631809,2.896894174050359e-05,0.0065653501507937214
0.01,-2.5,3,200000,0.007297225342496194,5.3249497699168693e-05,0.007152826360565541
0.01,-2.0,0,200000,0.004357328844976805,1.89863146632669e-05,0.004537552030604698
0.01,-2.0,1,200000,0.006034255909781497,3.6412244384732926e-05,0.006870498216654534
0.01,-2.0,2,200000,0.0049332716925507706,2.4337169592522745e-05,0.005748957527199987
0.01,-2.0,3,200000,0.0062282940512670346,3.879164678904833e-05,0.006371772274693515
0.01,-1.5,0,200000,0.005019167972775554,2.5192047138935867e-05,0.005367318304575331
0.01,-1.5,1,200000,0.006173960144949194,3.8117783871421075e-05,0.006887982880313482
0.01,-1.5,2,200000,0.004760942805095213,2.266657639338788e-05,0.005349479444535622
0.01,-1.5,3,200000,0.0054479102606115855,2.9679726207676992e-05,0.00644074871818696
0.01,-1.0,0,200000,0.00574586718682454,3.3014989728626955e-05,0.006335706697997027
0.01,-1.0,1,200000,0.0061655019067250625,3.8013413761830384e-05,0.006692501860695727
0.01,-1.0,2,200000,0.0044163629108606725,1.9504261360425752e-05,0.004893430647645152
0.01,-1.0,3,200000,0.005132645929973107,2.63440542424695e-05,0.0061151578728362915
0.01,-0.5,0,200000,0.0065404814077292955,4.2777897044852584e-05,0.0070842857388373655
0.01,-0.5,1,200000,0.005919979046877784,3.5046151915472e-05,0.006751091918998599
0.01,-0.5,2,200000,0.003980487348364829,1.5844279530492465e-05,0.004804592378386809
0.01,-0.5,3,200000,0.005055030298863295,2.555333132242593e-05,0.005663239598986562
0.01,0.0,0,200000,0.007349735455271094,5.4018611262468996e-05,0.00783539079596053
0.01,0.0,1,200000,0.005661692901020075,3.205476650546111e-05,0.0067418443914711804
0.01,0.0,2,200000,0.003778849805760728,1.4279705854497891e-05,0.004482946833852611
0.01,0.0,3,200000,0.00485776664102446,2.359789673865007e-05,0.0053028162045911644
0.01,0.5,0,200000,0.007976412999444201,6.362316433770245e-05,0.008449319337424158
0.01,0.5,1,200000,0.005262057074362094,2.7689244653844162e-05,0.0061063141125126215
0.01,0.5,2,200000,0.0038974659029292107,1.5190240464495807e-05,0.0039734566828969866
0.01,0.5,3,200000,0.004616702175921117,2.131393898115478e-05,0.004978939500890203
0.01,1.0,0,200000,0.008234465015005427,6.780641408334833e-05,0.008680493398101136
0.01,1.0,1,200000,0.005041093642776564,2.5412625115242285e-05,0.005363851701300359
0.01,1.0,2,200000,0.004205757936437765,1.7688399819909247e-05,0.0047013991911033165
0.01,1.0,3,200000,0.004610596385471503,2.1257599029722886e-05,0.0050390049313503325
0.01,1.5,0,200000,0.008100796974013884,6.56229116141925e-05,0.008614762119007292
0.01,1.5,1,200000,0.004606099519849154,2.1216152786754607e-05,0.004881128028824492
0.01,1.5,2,200000,0.004619409589338549,2.133894495407294e-05,0.005479881854769171
0.01,1.5,3,200000,0.004808024977143746,2.3117104180838123e-05,0.004751643911306383
0.01,2.0,0,200000,0.007665406765279639,5.8758460877194856e-05,0.008644541200077682
0.01,2.0,1,200000,0.004872480887773874,2.3741070001721676e-05,0.005451327149230035
0.01,2.0,2,200000,0.004992566853764972,2.4925723789312674e-05,0.005985096935555337
0.01,2.0,3,200000,0.005131081109342772,2.632799335065425e-05,0.0051840381354870775
0.01,2.5,0,200000,0.007207468196896453,5.1947597809273806e-05,0.009049804270910525
0.01,2.5,1,200000,0.005681883365136715,3.2283798575017314e-05,0.0059396479369399745
0.01,2.5,2,200000,0.0052387607289794075,2.7444613975496854e-05,0.006219788581998089
0.01,2.5,3,200000,0.006041970800560954,3.650541115483118e-05,0.006274067492651813
0.01,3.0,0,200000,0.007117379896175103,5.065709658647752e-05,0.009265169002745698
0.01,3.0,1,200000,0.007447995074383281,5.547263062803761e-05,0.006716241856579741
0.01,3.0,2,200000,0.005672369231531323,3.217577269882325e-05,0.006707029638264818
0.01,3.0,3,200000,0.008103186995713073,6.566163948749346e-05,0.007254486692081662
0.01,3.5,0,200000,0.007878764134447973,6.207492428626373e-05,0.009327622815032773
0.01,3.5,1,200000,0.010204818587883451,0.0001041383224116116,0.007936051475385893
0.01,3.5,2,200000,0.006767313719568299,4.5796534979057324e-05,0.007313625031323302
0.01,3.5,3,200000,0.011443397409363999,0.00013095134426863866,0.00797737016742873
0.01,4.0,0,200000,0.009547914472607853,9.11626707762345e-05,0.009161874468523403
0.01,4.0,1,200000,0.014764189398233535,0.00021798128858691151,0.008885475497845163
0.01,4.0,2,200000,0.009511237458432234,9.046363799068446e-05,0.0077900701197324874
0.01,4.0,3,200000,0.014967135124880746,0.00022401513384643897,0.008195432359167575
0.02,-4.0,0,200000,0.018387789298792135,0.00033811079529677454,0.01247689649609877
0.02,-4.0,1,200000,0.023000170017114553,0.0005290078208161753,0.015039828109685942
0.02,-4.0,2,200000,0.024413643455324666,0.0005960259867637169,0.015211889060669023
0.02,-4.0,3,200000,0.027443168282545168,0.0007531274853840931,0.017253324156409434
0.02,-3.5,0,200000,0.01241585427850256,0.00015415343746501032,0.01086023176652105
0.02,-3.5,1,200000,0.016119903381320386,0.0002598512850231044,0.013538030611556074
0.02,-3.5,2,200000,0.017229363764487297,0.0002968509757290279,0.014608677933421865
0.02,-3.5,3,200000,0.02032197160356087,0.0004129825298559343,0.016555151713702594
0.02,-3.0,0,200000,0.008308150021114527,6.902535677334532e-05,0.00944087281710692
0.02,-3.0,1,200000,0.011687084751702496,0.00013658794999347698,0.013147412577184754
0.02,-3.0,2,200000,0.012650884106838374,0.00016004486868465578,0.013818865512072844
0.02,-3.0,3,200000,0.015588434774471218,0.00024299929871794354,0.015140468204563867
0.02,-2.5,0,200000,0.006602641136554394,4.35948699781203e-05,0.007968374597323835
0.02,-2.5,1,200000,0.009544705006315848,9.110139365759081e-05,0.012566635305234075
0.02,-2.5,2,200000,0.010174747656339161,0.00010352548987017926,0.012627218190650052
0.02,-2.5,3,200000,0.012671545275637007,0.00016056805967251857,0.013156306651354081
0.02,-2.0,0,200000,0.00698669853109226,4.8813956364366743e-05,0.008359543354738559
0.02,-2.0,1,200000,0.008916784074860119,7.950903823767901e-05,0.011546783859185504
0.02,-2.0,2,200000,0.00906891616432082,8.224524039547947e-05,0.011070310600726184
0.02,-2.0,3,200000,0.010582005432016846,0.00011197883896323404,0.011394268918393265
0.02,-1.5,0,200000,0.008145751386164338,6.635326564519823e-05,0.009598482605501432
0.02,-1.5,1,200000,0.008999301488957785,8.098742728915781e-05,0.010895570060151157
